"id_parceiro","nome_fantasia","razao_social","cnpj_parceiro","id_status","status_parceiro","desc_segmento_pri","desc_segmento_sec","desc_segmento_manuais","desc_segmento_alt","dt_ativacao","dt_fim_onboarding","id_franquia","nome_franquia","id_regional","regional_franquia","tpv_meta","vendas_meta","tpv","vlr_cashback","vendas","usuarios_unicos","perc_tpv","perc_venda","ticket_medio","vendas_usuarios","receita_p_transacao","nv_engaj_score","nv_engajamento"
1392,restaurante ei bigs,restaurante el bigs ltda me,2280076000142,4,cancelado,alimentacao,restaurantes,{'almoco'},alimentacao,,,112,CURITIBA - PINHEIRINHO,11,CENTRO SUL,440,20,0.0,0.0,0,0,0.0,0.0,NaN,NaN,NaN,0.0,bronze
1444,forquetta restaurante,murilo gomes ferreira 38083156876,32043394000151,4,cancelado,alimentacao,bebidas,,alimentacao,2022-08-13,2022-09-12,23,ITAPEVI,15,SAO PAULO MINAS,440,20,0.0,0.0,0,0,0.0,0.0,NaN,NaN,NaN,0.0,bronze
1517,sbarco express restaurante,comalin comercio de alimento ltda,1358526000100,2,ativo,alimentacao,restaurantes,,alimentacao,2023-05-27,2023-06-26,103,FERNANDOPOLIS,14,INTERIOR,440,20,0.0,0.0,0,0,0.0,0.0,NaN,NaN,NaN,0.0,bronze
1722,todatassi otica & estilo,tassia gracielle tavares santos,41450590000131,4,cancelado,,oticas,"{'oculos de sol','oticas','oculosdegrau','oculos','oticas','semi joias,'}",outros,2022-07-27,2022-08-26,229,ITABUNA,12,COSTA LESTE,320,12,0.0,0.0,0,0,0.0,0.0,NaN,NaN,NaN,0.0,bronze
1864,posto tiger araras,posto tiger,3830667000100,4,cancelado,combustivel,combustivel,,combustivel,2022-08-12,2022-09-11,49,ARARAS,14,INTERIOR,480,12,303.44,4.02,6,4,0.6321666666666667,0.5,75.86,1.5,50.57333333333333,0.53965,prata
1957,w.q. quiropraxia,wiliam queiroz de oliveira 55578551904,17422975000100,4,cancelado,,estetica,{'quiropraxatia'},outros,2022-08-08,2022-09-07,117,MARINGA,11,CENTRO SUL,320,12,0.0,0.0,0,0,0.0,0.0,NaN,NaN,NaN,0.0,bronze
2377,cdt cartao de todos - novo hamburgo,cartao de todos novo hamburgo,24990908000158,2,ativo,outros,outros,,outros,2022-09-01,2022-10-01,138,NOVO HAMBURGO,11,CENTRO SUL,320,12,206.0,206.0,16,9,0.64375,1.3333333333333333,22.88888888888889,1.7777777777777777,12.875,1.1264583333333333,diamante
3203,cdt cartao de todos -lages,administradora de cartao de todos lages ltda,34834840000171,2,ativo,outros,outros,,outros,2024-02-29,2024-03-30,158,LAGES,11,CENTRO SUL,320,12,53.7,53.7,2,2,0.1678125,0.16666666666666666,26.85,1.0,26.85,0.16701041666666666,bronze
3905,mercadao dos oculos - arroio do meio,dk comercio otico ltda,40634782000135,4,cancelado,outros,outros,"{'oculos','oticas'}",outros,2022-12-30,2023-01-29,137,MFMN LAJEADO,11,CENTRO SUL,320,12,0.0,0.0,0,0,0.0,0.0,NaN,NaN,NaN,0.0,bronze
6397,pasta d'oro pizzaria,tania marcia felix cardoso,7279842000173,4,cancelado,alimentacao,pizzarias,"{'deliverypizza','melhorpizza','pizza','pizza  comdapizza','massa'}",alimentacao,2023-01-23,2023-02-22,100,VOTORANTIM,14,INTERIOR,440,20,276.0,13.8,2,1,0.6272727272727273,0.1,276.0,2.0,138.0,0.2581818181818182,bronze
7061,casarao restaurante pizzaria,alicia sonja varcalo 15009023652,44568357000308,4,cancelado,alimentacao,restaurantes,,alimentacao,,,187,POUSO ALEGRE,15,SAO PAULO MINAS,440,20,0.0,0.0,0,0,0.0,0.0,NaN,NaN,NaN,0.0,bronze
769,oticas cassia,ds comecio de oculos,41323964000158,4,cancelado,,oticas,"{'oculos','oculos','oticas','semi joias,','lente de grau'}",outros,,,110,COLOMBO,11,CENTRO SUL,320,12,0.0,0.0,0,0,0.0,0.0,NaN,NaN,NaN,0.0,bronze
